N,Algo,ExecMs,MatchedPairs,AvgWaitMs,MaxWaitMs,AvgMmrDiff
10000,FIFO_QUEUE,1.110,5000,2.362,8,500.506
10000,TREEMAP_MMR,3.027,5000,2.344,8,500.506
10000,BUCKETS,1.646,5000,2.542,28,513.634
30000,FIFO_QUEUE,0.566,15000,0.663,3,505.928
30000,TREEMAP_MMR,5.033,15000,0.636,2,505.928
30000,BUCKETS,4.729,15000,0.681,7,517.932
100000,FIFO_QUEUE,0.527,50000,24999.500,49999,505.757
100000,TREEMAP_MMR,10.857,50000,0.000,0,505.757
100000,BUCKETS,4.293,50000,0.000,0,518.667
300000,FIFO_QUEUE,1.068,150000,74999.500,149999,505.061
300000,TREEMAP_MMR,43.539,150000,0.000,0,505.061
300000,BUCKETS,11.185,150000,0.000,0,518.255
